,Charlotte,,Kametsu,YURI,Yes,"GJM for least artifacts. YURI for a bit more detail. 
Kametsu is GJM with dual audio","https://slow.pics/c/OglwjdUG
http://compare.bakashots.me/compare.php?setId=2415"
,Chihayafuru,,"S1: Yuki
S2: VCB&ANK/MK+Commie
S3: +Commie","S2: MK
Commie","| Yes
| No","Yuki is Yurasyk+Commie BD subs (plus a few styling/TS changes)
Commie BD batches have overhauled timing+TS and minor editing changes from 
MK's release.",
,Chobits,,TOJIO+(?),,No,TOJIO is on rutracker,
,Chronicles of the Going Home Club,Kitakubu Katsudou Kiroku,Crow,,No,Crow is Yousei+Femme,
,Citrus,,Exp,,Yes,,https://slow.pics/c/ujiPaA82
,City Hunter,,S1: Pizza,,No,Has pgs subs,
,Clannad,,,Akai,No,,
,Classroom of the Elite,"Youkoso Jitsuryoku Shijou 
Shugi no Kyoushitsu e",YURI,Clara ,Yes | No,Raws-Maji+MTBB with a few fixes,
,Classroom☆Crisis,,"GS
BAD",,No,Beatrice+DDY,
,Claymore,,,CTR-Kametsu,Yes,,
,Code:Breaker,,,CyC,Yes,CyC is philosophy+Hatsuyuki/CBM,
,Code Geass: Lelouch of the Rebellion,Code Geass: Hangyaku no Lelouch,"R1: Lulu
R2: OZR",,Yes,Lulu is Beatrice+ShadyCrab/CBM. OZR is Yousei+ShadyCrab/CBM,https://slow.pics/c/DoVlaT0n
,Coluboccoro,,Orphan,,No,,
,Comet Lucifer,,Asteroid,,No,,
,Comic Girls,,Xonline,,No,,
,Conception,,,KH,Yes ,,
,Cop Craft,,KH,BlurayDesuYo,Yes | No,KH is BDY with dual audio,
,Coppelion,,Ayaya,,No,Winter+Vivid,
,Cowboy Bebop,,,Arid,Yes,"Arid= Yurasyk+OZC
There's an ITBDRemux that's good but the video is VFR and interlaced. Better to 
wait for JySzE which will be encoded from that.","Yurasyk vs Fussoir: https://slow.pics/c/jzskfYus
ITBD vs JPBD: https://screenshotcomparison.com/comparison/12306/"
,Cross Game,,,Yuki,No,"Yuki is NF+MTBB/Restyled ANBU
Could use a good encode",https://slow.pics/c/7wkrZ2xV
,D-Frag!,,deanzel,FFF,Yes | No,deanzel = FFF + Dual Audio,https://slow.pics/c/ofOTvnvO
,D.Gray-man,,"S1: Parandark
Hallow: naiyas/Holomux",,No,No physical media for Hallow.,
,Dagashi Kashi,,"S1: MK
S2: GSK_kun",,"Yes
No",,https://slow.pics/c/vkDO0YUs
,"DanMachi - Is It Wrong to Try to 
Pick Up Girls in a Dungeon?","Dungeon ni Deai wo Motomeru no wa 
Machigatteiru Darou ka","S1: Dekinai
S2, S3: sam","S1: Beatrice+Dekinai
S3: Z4ST1N (WEB)",No,"Dekinai is sergey+Cthuko/BDY/FFF. 
sam is own encode+Astral for S2 and Z4ST1N for S3","https://slow.pics/c/u0KOct6k
https://slow.pics/c/YIRHYOgM"
,DanMachi - Sword Oratoria,"Dungeon ni Deai wo Motomeru no wa 
Machigatteiru Darou ka Gaiden: 
Sword Oratoria",Alt,,Yes,Alt is neko+devill0000,
,Darker than Black,Darker than Black: Kuro no Keiyakusha,ASC,kuchikirukia,Yes,Beatrice+CEB. kuchi uses OC for ED and has wrong Eng audio for one ep apparently. ,
,Darling in the FranXX,,Chotab,,Yes,"Zero two best girl
should have ended at ep 13 or something tho.",https://slow.pics/c/FvoTOPtZ
,Date a Live,,Yoghurt,FFF,No,"Yoghurt is Beatrice+Sally/Judas for S1, Beatrice+FFF for S2 and 
Raws-Maji + GSK_kun for S3",
,Deadman Wonderland,,OZR,AC,Yes,OZR is HQR+SGKK/Commie,
,Death March to the Parallel World Rhapsody,"Death March Kara Hajimaru 
Isekai Kyousoukyoku",NH,Asakura,Yes | No,NH is Asakura with dual audio. Asakura is neko+modified LY,
,Death Note,,Arid,,Yes,Arid is Yurasyk+redc4t,
,Death Parade,,SCY,,Yes,SCY is beatrice raws video with edited and resync'd FFF subs.,
,Deca-Dence,,Okay-Raws+Astral,Erai-raws,No,Astral is v0 and needs a thorough QC,
,Demon City Shinjuku,Makai Toshi Shinjuku,Iznjie Biznjie,,Yes,,
,Demon King Daimao,Ichiban Ushiro no Daimaou,YURI,,Yes,YURI is sergey+Tsundere,
,"Demon Lord, Retry!","Maou-sama, Retry!",KH,,Yes,,
,Demon Slayer,Kimetsu no Yaiba,SCY,,Yes,,
,Dennou Coil,,HaiveMind,MTBB,Yes | No,HaiveMind is Yousei+MTBB. Available on XDCC.,
,Denpa teki na Kanojo,,Drag,,No,Drag is RG-Genshiken+Golo/WhyNot,
,Detroit Metal City: The Animated Series,Detroit Metal City,Crow,Delicio.us,No,Crow is UCCUSS+Delicio.us,
,Devilman Crybaby,,Datte13,,No,Datte is neko+Dekinai,
,Diary of Our Days at the Breakwater,Houkago Teibou Nisshi,,hchcsen,Yes,hchcsen is UCCUSS+HS,
,DIVE!!,,SCY-Kuromii,,No,,
,Dog & Scissors,Inu to Hasami wa Tsukaiyou,Winter+Scriptum,Scriptum,No,Need to compare against Salender,
,DOGEZA: I Tried Asking While Kowtowing.,Dogeza de Tanondemita,Gao,TTGA,No,,https://slow.pics/c/m20jbTcM
,Domestic Girlfriend,"Domestic na Kanojo",YURI,,Yes ,YURI is Seicher+DDY,https://slow.pics/c/9gN3h6i3
,"Don't Toy with Me, Miss Nagatoro","Ijiranaide, Nagatoro-san",,ඞ (WEB),No, ඞ is Smoke+BullySubs (Nepotism intensifies) ,
,Dororo,,Arid,,Yes,Arid is Beatrice+GSK_kun,https://slow.pics/c/eQLLbnHe
